"Date" "NHSBoard" "TotalAttendances" "Within4Hours" "Over4Hours" "Over8Hours" "Over12Hours"
"1" 2007-07-31 "NHS Ayrshire & Arran" 9288 8989 299 29 25
"2" 2007-07-31 "NHS Borders" 2066 2047 19 0 0
"3" 2007-07-31 "NHS Dumfries & Galloway" 4420 4290 130 0 0
"4" 2007-07-31 "NHS Fife" 8006 7729 277 8 1
"5" 2007-07-31 "NHS Forth Valley" 5967 5771 196 5 1
"6" 2007-07-31 "NHS Grampian" 12082 11845 237 9 1
"7" 2007-07-31 "NHS Greater Glasgow & Clyde" 37215 35708 1507 59 9
"8" 2007-07-31 "NHS Highland" 8464 8348 116 3 1
"9" 2007-07-31 "NHS Lanarkshire" 16093 15395 698 134 65
"10" 2007-07-31 "NHS Lothian" 18228 17313 915 25 0
"11" 2007-07-31 "NHS Orkney" 225 225 0 * *
"12" 2007-07-31 "NHS Shetland" 802 791 11 0 0
"13" 2007-07-31 "NHS Tayside" 8416 8385 31 0 0
"14" 2007-07-31 "NHS Western Isles" 968 954 14 1 0
"15" 2007-08-31 "NHS Ayrshire & Arran" 9564 9247 317 6 3
"16" 2007-08-31 "NHS Borders" 2275 2263 12 0 0
"17" 2007-08-31 "NHS Dumfries & Galloway" 4520 4392 128 2 0
"18" 2007-08-31 "NHS Fife" 7790 7550 240 11 3
"19" 2007-08-31 "NHS Forth Valley" 6242 5925 317 10 0
"20" 2007-08-31 "NHS Grampian" 12196 11907 289 11 1
"21" 2007-08-31 "NHS Greater Glasgow & Clyde" 38074 36249 1825 71 10
"22" 2007-08-31 "NHS Highland" 8835 8690 145 3 0
"23" 2007-08-31 "NHS Lanarkshire" 16453 16060 393 28 6
"24" 2007-08-31 "NHS Lothian" 19356 18163 1193 65 1
"25" 2007-08-31 "NHS Orkney" 237 237 0 * *
"26" 2007-08-31 "NHS Shetland" 745 727 18 1 1
"27" 2007-08-31 "NHS Tayside" 8184 8130 54 1 0
"28" 2007-08-31 "NHS Western Isles" 915 889 26 0 0
"29" 2007-09-30 "NHS Ayrshire & Arran" 9020 8834 186 0 0
"30" 2007-09-30 "NHS Borders" 2271 2259 12 0 0
"31" 2007-09-30 "NHS Dumfries & Galloway" 4151 4059 92 0 0
"32" 2007-09-30 "NHS Fife" 7686 7390 296 15 2
"33" 2007-09-30 "NHS Forth Valley" 6114 5820 294 10 0
"34" 2007-09-30 "NHS Grampian" 12123 11780 343 22 5
"35" 2007-09-30 "NHS Greater Glasgow & Clyde" 36869 35386 1483 48 8
"36" 2007-09-30 "NHS Highland" 7628 7530 98 1 0
"37" 2007-09-30 "NHS Lanarkshire" 16147 15723 424 59 27
"38" 2007-09-30 "NHS Lothian" 18789 17831 958 40 2
"39" 2007-09-30 "NHS Orkney" 242 242 0 * *
"40" 2007-09-30 "NHS Shetland" 713 691 22 3 2
"41" 2007-09-30 "NHS Tayside" 8238 8184 54 1 0
"42" 2007-09-30 "NHS Western Isles" 811 786 25 0 0
"43" 2007-10-31 "NHS Ayrshire & Arran" 9255 9000 255 4 1
"44" 2007-10-31 "NHS Borders" 2135 2118 17 0 0
"45" 2007-10-31 "NHS Dumfries & Galloway" 3861 3802 59 1 0
"46" 2007-10-31 "NHS Fife" 7552 7372 180 4 0
"47" 2007-10-31 "NHS Forth Valley" 5830 5750 80 3 0
"48" 2007-10-31 "NHS Grampian" 11734 11551 183 9 1
"49" 2007-10-31 "NHS Greater Glasgow & Clyde" 38179 36623 1556 46 4
"50" 2007-10-31 "NHS Highland" 7132 7068 64 2 0
"51" 2007-10-31 "NHS Lanarkshire" 15956 15485 471 31 6
"52" 2007-10-31 "NHS Lothian" 18732 17907 825 23 0
"53" 2007-10-31 "NHS Orkney" 199 199 0 * *
"54" 2007-10-31 "NHS Shetland" 676 670 6 1 0
"55" 2007-10-31 "NHS Tayside" 7952 7885 67 0 0
"56" 2007-10-31 "NHS Western Isles" 771 755 16 0 0
"57" 2007-11-30 "NHS Ayrshire & Arran" 8450 8292 158 6 0
"58" 2007-11-30 "NHS Borders" 1973 1952 21 0 0
"59" 2007-11-30 "NHS Dumfries & Galloway" 3613 3561 52 0 0
"60" 2007-11-30 "NHS Fife" 6962 6764 198 4 0
"61" 2007-11-30 "NHS Forth Valley" 5513 5423 90 2 0
"62" 2007-11-30 "NHS Grampian" 10769 10507 262 27 6
"63" 2007-11-30 "NHS Greater Glasgow & Clyde" 35746 34603 1143 29 11
"64" 2007-11-30 "NHS Highland" 6510 6448 62 0 0
"65" 2007-11-30 "NHS Lanarkshire" 15391 15062 329 48 20
"66" 2007-11-30 "NHS Lothian" 18053 17520 533 30 0
"67" 2007-11-30 "NHS Orkney" 146 146 0 * *
"68" 2007-11-30 "NHS Shetland" 622 621 1 0 0
"69" 2007-11-30 "NHS Tayside" 7479 7429 50 1 0
"70" 2007-11-30 "NHS Western Isles" 556 549 7 0 0
"71" 2007-12-31 "NHS Ayrshire & Arran" 8478 8295 183 3 0
"72" 2007-12-31 "NHS Borders" 2107 2064 43 1 0
"73" 2007-12-31 "NHS Dumfries & Galloway" 3860 3781 79 0 0
"74" 2007-12-31 "NHS Fife" 6856 6709 147 7 0
"75" 2007-12-31 "NHS Forth Valley" 5303 5201 102 2 0
"76" 2007-12-31 "NHS Grampian" 11061 10759 302 27 2
"77" 2007-12-31 "NHS Greater Glasgow & Clyde" 35355 34574 781 22 1
"78" 2007-12-31 "NHS Highland" 6568 6482 86 2 0
"79" 2007-12-31 "NHS Lanarkshire" 15233 15055 178 33 15
"80" 2007-12-31 "NHS Lothian" 18002 17435 567 38 0
"81" 2007-12-31 "NHS Orkney" 154 154 0 * *
"82" 2007-12-31 "NHS Shetland" 704 698 6 0 0
"83" 2007-12-31 "NHS Tayside" 8071 7877 194 7 0
"84" 2007-12-31 "NHS Western Isles" 620 612 8 0 0
"85" 2008-01-31 "NHS Ayrshire & Arran" 8559 8435 124 0 0
"86" 2008-01-31 "NHS Borders" 2034 1973 61 2 0
"87" 2008-01-31 "NHS Dumfries & Galloway" 3706 3599 107 7 0
"88" 2008-01-31 "NHS Fife" 7003 6600 403 68 20
"89" 2008-01-31 "NHS Forth Valley" 5298 5188 110 5 3
"90" 2008-01-31 "NHS Grampian" 11020 10601 419 53 5
"91" 2008-01-31 "NHS Greater Glasgow & Clyde" 35163 34312 851 18 1
"92" 2008-01-31 "NHS Highland" 6366 6291 75 3 0
"93" 2008-01-31 "NHS Lanarkshire" 15307 14869 438 98 40
"94" 2008-01-31 "NHS Lothian" 17501 17083 418 28 2
"95" 2008-01-31 "NHS Orkney" 154 154 0 * *
"96" 2008-01-31 "NHS Shetland" 629 618 11 0 0
"97" 2008-01-31 "NHS Tayside" 7351 7265 86 1 0
"98" 2008-01-31 "NHS Western Isles" 603 596 7 0 0
"99" 2008-02-29 "NHS Ayrshire & Arran" 8555 8451 104 3 2
"100" 2008-02-29 "NHS Borders" 1888 1869 19 0 0
"101" 2008-02-29 "NHS Dumfries & Galloway" 3634 3541 93 3 0
"102" 2008-02-29 "NHS Fife" 6852 6648 204 9 2
"103" 2008-02-29 "NHS Forth Valley" 5239 5151 88 4 2
"104" 2008-02-29 "NHS Grampian" 11004 10616 388 54 8
"105" 2008-02-29 "NHS Greater Glasgow & Clyde" 34765 34003 762 18 0
"106" 2008-02-29 "NHS Highland" 5782 5698 84 1 0
"107" 2008-02-29 "NHS Lanarkshire" 14810 14431 379 60 35
"108" 2008-02-29 "NHS Lothian" 17360 17091 269 9 0
"109" 2008-02-29 "NHS Orkney" 178 176 2 * *
"110" 2008-02-29 "NHS Shetland" 674 669 5 0 0
"111" 2008-02-29 "NHS Tayside" 7117 7058 59 0 0
"112" 2008-02-29 "NHS Western Isles" 634 623 11 0 0
"113" 2008-03-31 "NHS Ayrshire & Arran" 9583 9410 173 7 0
"114" 2008-03-31 "NHS Borders" 2112 2060 52 2 0
"115" 2008-03-31 "NHS Dumfries & Galloway" 4187 4094 93 4 1
"116" 2008-03-31 "NHS Fife" 7988 7637 351 32 13
"117" 2008-03-31 "NHS Forth Valley" 6172 5935 237 8 1
"118" 2008-03-31 "NHS Grampian" 11608 11238 370 40 4
"119" 2008-03-31 "NHS Greater Glasgow & Clyde" 38882 37913 969 30 2
"120" 2008-03-31 "NHS Highland" 7355 7251 104 0 0
"121" 2008-03-31 "NHS Lanarkshire" 16943 16419 524 99 46
"122" 2008-03-31 "NHS Lothian" 19020 18599 421 21 0
"123" 2008-03-31 "NHS Orkney" 177 177 0 * *
"124" 2008-03-31 "NHS Shetland" 749 739 10 0 0
"125" 2008-03-31 "NHS Tayside" 8517 8437 80 3 0
"126" 2008-03-31 "NHS Western Isles" 697 691 6 0 0
"127" 2008-04-30 "NHS Ayrshire & Arran" 9291 9179 112 2 1
"128" 2008-04-30 "NHS Borders" 2016 1982 34 0 0
"129" 2008-04-30 "NHS Dumfries & Galloway" 3842 3781 61 0 0
"130" 2008-04-30 "NHS Fife" 7132 6873 259 31 7
"131" 2008-04-30 "NHS Forth Valley" 5613 5490 123 2 0
"132" 2008-04-30 "NHS Grampian" 11306 10964 342 28 2
"133" 2008-04-30 "NHS Greater Glasgow & Clyde" 36983 36172 811 14 0
"134" 2008-04-30 "NHS Highland" 7296 7185 111 2 0
"135" 2008-04-30 "NHS Lanarkshire" 16340 15850 490 130 80
"136" 2008-04-30 "NHS Lothian" 18648 18157 491 21 1
"137" 2008-04-30 "NHS Orkney" 169 169 0 * *
"138" 2008-04-30 "NHS Shetland" 720 709 11 0 0
"139" 2008-04-30 "NHS Tayside" 7740 7662 78 1 0
"140" 2008-04-30 "NHS Western Isles" 742 738 4 1 0
"141" 2008-05-31 "NHS Ayrshire & Arran" 10264 10104 160 1 0
"142" 2008-05-31 "NHS Borders" 2416 2373 43 1 0
"143" 2008-05-31 "NHS Dumfries & Galloway" 4553 4494 59 5 0
"144" 2008-05-31 "NHS Fife" 8185 7986 199 7 1
"145" 2008-05-31 "NHS Forth Valley" 6668 6503 165 2 0
"146" 2008-05-31 "NHS Grampian" 13010 12734 276 15 0
"147" 2008-05-31 "NHS Greater Glasgow & Clyde" 40685 39944 741 21 1
"148" 2008-05-31 "NHS Highland" 8557 8454 103 0 0
"149" 2008-05-31 "NHS Lanarkshire" 17981 17628 353 55 15
"150" 2008-05-31 "NHS Lothian" 20188 19663 525 33 2
"151" 2008-05-31 "NHS Orkney" 291 291 0 * *
"152" 2008-05-31 "NHS Shetland" 813 808 5 0 0
"153" 2008-05-31 "NHS Tayside" 8918 8860 58 2 0
"154" 2008-05-31 "NHS Western Isles" 895 884 11 0 0
"155" 2008-06-30 "NHS Ayrshire & Arran" 9685 9576 109 1 0
"156" 2008-06-30 "NHS Borders" 2187 2164 23 0 0
"157" 2008-06-30 "NHS Dumfries & Galloway" 4286 4212 74 3 2
"158" 2008-06-30 "NHS Fife" 7809 7636 173 9 3
"159" 2008-06-30 "NHS Forth Valley" 6177 6028 149 3 0
"160" 2008-06-30 "NHS Grampian" 12325 12136 189 8 0
"161" 2008-06-30 "NHS Greater Glasgow & Clyde" 38312 37584 728 26 1
"162" 2008-06-30 "NHS Highland" 8560 8448 112 0 0
"163" 2008-06-30 "NHS Lanarkshire" 17032 16632 400 57 18
"164" 2008-06-30 "NHS Lothian" 19344 18911 433 31 9
"165" 2008-06-30 "NHS Orkney" 250 250 0 * *
"166" 2008-06-30 "NHS Shetland" 805 801 4 0 0
"167" 2008-06-30 "NHS Tayside" 8201 8151 50 1 0
"168" 2008-06-30 "NHS Western Isles" 780 773 7 0 0
"169" 2008-07-31 "NHS Ayrshire & Arran" 9612 9502 110 0 0
"170" 2008-07-31 "NHS Borders" 2236 2222 14 0 0
"171" 2008-07-31 "NHS Dumfries & Galloway" 4209 4150 59 3 1
"172" 2008-07-31 "NHS Fife" 7385 7257 128 1 0
"173" 2008-07-31 "NHS Forth Valley" 6049 5929 120 6 0
"174" 2008-07-31 "NHS Grampian" 11954 11809 145 9 1
"175" 2008-07-31 "NHS Greater Glasgow & Clyde" 37915 37326 589 14 1
"176" 2008-07-31 "NHS Highland" 9143 9014 129 1 1
"177" 2008-07-31 "NHS Lanarkshire" 16189 15985 204 16 3
"178" 2008-07-31 "NHS Lothian" 18549 18149 400 25 11
"179" 2008-07-31 "NHS Orkney" 250 250 0 * *
"180" 2008-07-31 "NHS Shetland" 789 782 7 0 0
"181" 2008-07-31 "NHS Tayside" 8206 8155 51 1 0
"182" 2008-07-31 "NHS Western Isles" 810 802 8 0 0
"183" 2008-08-31 "NHS Ayrshire & Arran" 9751 9638 113 1 0
"184" 2008-08-31 "NHS Borders" 2257 2220 37 0 0
"185" 2008-08-31 "NHS Dumfries & Galloway" 4419 4356 63 5 2
"186" 2008-08-31 "NHS Fife" 7506 7311 195 4 2
"187" 2008-08-31 "NHS Forth Valley" 6304 6100 204 7 1
"188" 2008-08-31 "NHS Grampian" 12493 11984 509 37 3
"189" 2008-08-31 "NHS Greater Glasgow & Clyde" 38333 37532 801 18 1
"190" 2008-08-31 "NHS Highland" 9030 8920 110 1 1
"191" 2008-08-31 "NHS Lanarkshire" 16524 16215 309 8 0
"192" 2008-08-31 "NHS Lothian" 19624 19087 537 30 1
"193" 2008-08-31 "NHS Orkney" 234 234 0 * *
"194" 2008-08-31 "NHS Shetland" 782 770 12 0 0
"195" 2008-08-31 "NHS Tayside" 8484 8386 98 2 0
"196" 2008-08-31 "NHS Western Isles" 797 788 9 0 0
"197" 2008-09-30 "NHS Ayrshire & Arran" 9297 9194 103 3 0
"198" 2008-09-30 "NHS Borders" 2050 2009 41 0 0
"199" 2008-09-30 "NHS Dumfries & Galloway" 4045 3975 70 1 0
"200" 2008-09-30 "NHS Fife" 7256 7107 149 12 0
"201" 2008-09-30 "NHS Forth Valley" 6081 5916 165 6 1
"202" 2008-09-30 "NHS Grampian" 12041 11712 329 13 0
"203" 2008-09-30 "NHS Greater Glasgow & Clyde" 37719 37054 665 25 4
"204" 2008-09-30 "NHS Highland" 8256 8133 123 1 0
"205" 2008-09-30 "NHS Lanarkshire" 16438 16129 309 21 1
"206" 2008-09-30 "NHS Lothian" 19163 18774 389 42 13
"207" 2008-09-30 "NHS Orkney" 197 197 0 * *
"208" 2008-09-30 "NHS Shetland" 784 778 6 0 0
"209" 2008-09-30 "NHS Tayside" 8137 8071 66 1 0
"210" 2008-09-30 "NHS Western Isles" 726 720 6 0 0
"211" 2008-10-31 "NHS Ayrshire & Arran" 8799 8717 82 1 0
"212" 2008-10-31 "NHS Borders" 2001 1944 57 1 0
"213" 2008-10-31 "NHS Dumfries & Galloway" 3913 3864 49 1 0
"214" 2008-10-31 "NHS Fife" 6791 6678 113 9 3
"215" 2008-10-31 "NHS Forth Valley" 5845 5713 132 3 0
"216" 2008-10-31 "NHS Grampian" 10961 10647 314 22 1
"217" 2008-10-31 "NHS Greater Glasgow & Clyde" 37156 36416 740 21 0
"218" 2008-10-31 "NHS Highland" 7122 7020 102 1 0
"219" 2008-10-31 "NHS Lanarkshire" 15573 15276 297 26 2
"220" 2008-10-31 "NHS Lothian" 18829 18391 438 23 1
"221" 2008-10-31 "NHS Orkney" 194 194 0 * *
"222" 2008-10-31 "NHS Shetland" 629 629 0 0 0
"223" 2008-10-31 "NHS Tayside" 7448 7410 38 1 0
"224" 2008-10-31 "NHS Western Isles" 630 619 11 1 0
"225" 2008-11-30 "NHS Ayrshire & Arran" 8702 8548 154 2 0
"226" 2008-11-30 "NHS Borders" 2009 1975 34 0 0
"227" 2008-11-30 "NHS Dumfries & Galloway" 3910 3816 94 1 0
"228" 2008-11-30 "NHS Fife" 6566 6355 211 29 13
"229" 2008-11-30 "NHS Forth Valley" 5664 5558 106 3 0
"230" 2008-11-30 "NHS Grampian" 10907 10525 382 26 4
"231" 2008-11-30 "NHS Greater Glasgow & Clyde" 36910 36079 831 21 3
"232" 2008-11-30 "NHS Highland" 6783 6689 94 0 0
"233" 2008-11-30 "NHS Lanarkshire" 15901 15474 427 38 14
"234" 2008-11-30 "NHS Lothian" 18875 18374 501 40 7
"235" 2008-11-30 "NHS Orkney" 177 177 0 * *
"236" 2008-11-30 "NHS Shetland" 647 641 6 1 0
"237" 2008-11-30 "NHS Tayside" 7445 7385 60 2 0
"238" 2008-11-30 "NHS Western Isles" 591 585 6 0 0
"239" 2008-12-31 "NHS Ayrshire & Arran" 9076 8758 318 6 1
"240" 2008-12-31 "NHS Borders" 2139 2091 48 0 0
"241" 2008-12-31 "NHS Dumfries & Galloway" 3958 3879 79 7 0
"242" 2008-12-31 "NHS Fife" 6811 6430 381 65 18
"243" 2008-12-31 "NHS Forth Valley" 5622 5381 241 5 0
"244" 2008-12-31 "NHS Grampian" 11620 11033 587 76 5
"245" 2008-12-31 "NHS Greater Glasgow & Clyde" 38255 37073 1182 52 2
"246" 2008-12-31 "NHS Highland" 7120 7006 114 2 0
"247" 2008-12-31 "NHS Lanarkshire" 15158 14689 469 42 2
"248" 2008-12-31 "NHS Lothian" 19037 18255 782 89 11
"249" 2008-12-31 "NHS Orkney" 251 250 1 * *
"250" 2008-12-31 "NHS Shetland" 781 776 5 0 0
"251" 2008-12-31 "NHS Tayside" 7921 7811 110 0 0
"252" 2008-12-31 "NHS Western Isles" 639 634 5 0 0
"253" 2009-01-31 "NHS Ayrshire & Arran" 8705 8290 415 15 0
"254" 2009-01-31 "NHS Borders" 2079 2021 58 0 0
